id;xorig;yorig;xdest;ydest;facper
680;306948;5038081;298966;5039702;26.202
681;309386;5035949;296849;5047786;34.905
682;307181;5036461;295456;5052616;37.628
683;307857;5047028;288484;5037442;30.543
684;303744;5043590;295456;5040528;17.387
685;306771;5032685;298769;5049722;38.080
686;311900;5047418;299283;5036661;21.489
687;304836;5045417;300821;5043127;40.174
688;307162;5042761;296777;5046943;22.321
689;305984;5042868;288293;5044200;31.950
690;317364;5043750;298792;5052915;30.884
691;317119;5043752;299670;5041093;27.435
692;318588;5042433;295499;5040924;26.844
693;318305;5042238;299810;5040250;22.706
694;318336;5042238;279190;5035921;25.635
